問題文,選択肢1,選択肢2,選択肢3,選択肢4
1945年7月26日、米、英、中(後にソ連も参加)の連合国が発した対日共同宣言,ポツダム宣言,フリーダム宣言,バルフォア宣言,ポーツマス宣言
14世紀〜15世紀に入ると、ヨーロッパ各地で病が大流行した。その病の名は？,ペスト,エボラ,コロナ,エイズ
1814年9月1日から開催されたウィーン会議で数ヶ月を経ても遅々として会議が進捗せず、「会議は○、されど進まず」と評された。○に入る言葉は？,踊る,走る,栄える,捗る
日本の文豪で、中国古典からの影響を受け漢文的な硬質な文体を特徴とし、「山月記」や「弟子」などの作品を出した人物は？,中島敦,江戸川乱歩,中原中也,森鴎外
「賽は投げられた」「来た、見た、勝った」「ブルータス、お前もか」等の特徴的な引用句でも知られるローマ末期の政治家は？,カエサル,ネロ,アウグストゥス,ティペリウス
国民の自由を保証する制度として、立法(議会)・司法(連邦裁判所)・行政(大統領)と権力を分散させる制度をなんというか,三権分立,権力分散性,三院制,多種多様制
ベートーヴェン、シューベルト、リスト等の作曲家の師であり、モーツァルトと対立した(実際は噂）とされるイタリアの作曲家は？,サリエリ,ジャコモ,ニコロ,アルカンジェロ
「子供期」「青年期」を提唱した、『エミール』の著者。また、「社会契約論」を主張した思想家は？,ルソー,モンテスキュー,ロック,マルクス
世界初「プログラム可能」な計算機を考案した。『コンピュータの父』とも言われる人物。,バベッジ,ハーシェル,ライアン,ピーコック
電力の単位となった人物。炭鉱排水用の蒸気機関を改良して独自の蒸気機関を制作した。「馬力」を考案した。,ワット,オーム,ボルト,ジュール
